PIB File Number,Date Occurred,Originating Bureau,Division Level,Division,Unit,Working Status,Shift,Investigation Status,Disposition,Service Type,Light Condition,Weather Condition,Number of Officers,Number of Subjects,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2021-0003,1/1/2021,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,3,1,Force (Escort Tech) | Force (Escort Tech) | Force (Escort Tech),L1 | L1 | L1,Alchohol and unknown drugs,Yes | Yes | Yes,White | Black | Hispanic,Female | Male | Male,25 | 45 | 38,6 | 5 | 4,0 feet to 1 feet,Male,White,51,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2021-0112,4/12/2021,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,9,1,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Rifle (Pointed) | Firearm (Exhibited) | CEW Deployment | Rifle (Pointed) | Firearm (Exhibited),L1 | L1 | L1 | L1 | L1 | L1 | L2 | L1 | L1,Mentally unstable,No | No | No | No | No | No | Yes | No | No,Asian/Pacific Islander | White | Black | White | White | White | White | Black | White,Male | Male | Male | Male | Male | Male | Male | Male | Male,38 | 39 | 34 | 29 | 29 | 30 | 30 | 45 | 22,15 | 17 | 7 | 7 | 7 | 6 | 6 | 5 | 4,22 feet to 25 feet,Male,Black,24,Medium,5'10'' to 6'0'',No,Yes,Yes,,Refusal of Verbal Commands,No | No | No | No | No | No | No | No | No
FTN2017-0482,9/12/2017,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,3,2,Force (Take Down) | Hands | Force (Take Down),L2 | L1 | L2,None detected | None detected,Yes | Yes | Yes,White | Black | Black,Male | Male | Male,30 | 31 | 31,8 | 7 | 7,0 feet to 1 feet | 0 feet to 1 feet,Male | Female,White | White,30 | 26,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,Yes | Yes,,Resisting Lawful Arrest,No | No | No
FTN2019-0227,7/5/2019,FOB - Field Operations Bureau,8th District,D.I.U.,Property,Paid Detail,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Takedown (no injury),L1,None detected,Yes,White,Male,49,26,0 feet to 1 feet,Male,Black,45,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2023-0178,4/3/2023,FOB - Field Operations Bureau,2nd District,D.I.U.,Persons,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Takedown (no injury),L1,Unknown,Yes,Black,Male,29,4,1 feet to 3 feet,Male,Black,17,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2019-0393,12/19/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,45,23,22 feet to 25 feet,Male,Black,24,,,No,No,Yes,,Tactical Deployments,No
FTN2021-0318,10/9/2021,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Other,Good,Clear Conditions,1,2,Firearm (Exhibited),L1,None detected | None detected,Yes,Black,Male,58,32,4 feet to 6 feet | 4 feet to 6 feet,Male | Male,Black | Black,61 | 48,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,No | No,Yes | Yes,,Refusal of Verbal Commands,No
FTN2020-0011,1/11/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Other,,,1,1,Takedown (no injury),L1,,Yes,Hispanic,Male,26,7,,Male,Black,25,,,No,No,Yes,,Other,No
FTN2020-0005,1/7/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,,,1,1,Hands,L1,Unknown,Yes,Asian/Pacific Islander,Male,26,5,0 feet to 1 feet,Male,Black,57,,,No,No,Yes,,Resisting Lawful Arrest,No
FTN2020-0133,4/28/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,1,1,Takedown (no injury),L1,Alchohol,Yes,Hispanic,Male,26,7,1 feet to 3 feet,Male,White,47,Medium,5'10'' to 6'0'',No,Yes,Yes,,Refusal of Verbal Commands,No
FTN2023-0130,3/4/2023,FOB - Field Operations Bureau,2nd District,Night Watch,Night Watch,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,1,Takedown (no injury),L1,Unknown Drugs,Yes,White,Male,49,16,1 feet to 3 feet,Male,White,16,Medium,5'4'' to 5'6'',No,No,No,,Resisting Lawful Arrest,No
FTN2020-0236,8/14/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Arresting,Good,Other,2,1,Head Strike (No Wep) | Hands,L3 | L1,Alchohol,Yes | Yes,Black | Black,Male | Male,47 | 37,26 | 9,0 feet to 1 feet,Male,Black,43,Medium,6'1'' to 6'3'',Yes,Yes,Yes,,Refusal of Verbal Commands,No | No
FTN2018-0415,11/11/2018,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Alchohol,Yes | Yes,Black | White,Female | Male,40 | 26,19 | 7,7 feet to 10 feet,Male,White,29,Small,5'7'' to 5'9'',No,No,Yes,,Tactical Deployments,No | No
FTN2022-0093,3/11/2022,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,2,1,CEW Deployment | CEW Deployment,L2 | L2,Alchohol,No | Yes,Black | Black,Female | Male,36 | 39,10 | 9,1 feet to 3 feet,Male,Black,49,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Battery on Police Officer,Yes | Yes
FTN2020-0173,6/21/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,3,1,Hands | Hands | Hands,L1 | L1 | L1,Alchohol,Yes | Yes | Yes,White | Hispanic | Black,Male | Male | Male,42 | 27 | 27,20 | 7 | 5,0 feet to 1 feet,Male,Hispanic,36,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Refusal of Verbal Commands,No | No | No
FTN2020-0237,8/16/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,25,5,1 feet to 3 feet,Male,Black,34,Medium,5'10'' to 6'0'',No,Yes,Yes,,Flight from an Officer,No
FTN2017-0285,6/5/2017,FOB - Field Operations Bureau,4th District,Task Force,Unknown,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Rainy Conditions - Light,2,4,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown | Unknown | Unknown | Unknown,Yes | No,Black | Black,Female | Male,30 | 37,15 | 20,1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet,Male | Male | Male | Male,Black | Black | Black | Black,21 | 21 | 21 | ,Medium | Medium | Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'' | 5'7'' to 5'9'' | 5'7'' to 5'9'',No | No | No | No,No | No | No | No,Yes | Yes | Yes | Yes,,Resisting Lawful Arrest,No | No
FTN2019-0400,12/24/2019,FOB - Field Operations Bureau,4th District,Unknown,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,No,,,,,15 feet to 18 feet,Male,Black,,,,No,No,No,,Flight from an Officer,No
FTN2020-0067,3/3/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,2,1,Firearm (Exhibited) | CEW Deployment,L1 | L2,Unknown,Yes | Yes,White | Hispanic,Male | Male,31 | 38,6 | 6,7 feet to 10 feet,Male,Black,47,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Flight from an Officer,No | No
FTN2022-0075,2/24/2022,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,No,Black,Male,40,17,0 feet to 1 feet,Male,Black,32,Medium,5'7'' to 5'9'',No,No,No,,Flight from an Officer,No
FTN2023-0500,12/17/2023,FOB - Field Operations Bureau,5th District,Staff,Staff Other,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Other,Good,Clear Conditions,1,1,CEW Deployment,L2,Unknown,Yes,Black,Male,41,16,1 feet to 3 feet,Male,Black,33,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Detention,No
FTN2021-0276,9/1/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,3,Firearm (Exhibited),L1,None detected | None detected | None detected,Yes,White,Male,38,16,4 feet to 6 feet | 4 feet to 6 feet | 4 feet to 6 feet,Male | Male | Male,Black | Black | Black,21 | 18 | 14,Medium | Medium | Medium,5'4'' to 5'6'' | 5'4'' to 5'6'' | 5'4'' to 5'6'',No | No | No,No | No | No,Yes | Yes | Yes,,Room Clearing,No
FTN2019-0201,6/10/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Hispanic,Male,37,6,22 feet to 25 feet,Male,Black,16,Small,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2019-0243,7/28/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,3,1,CEW Exhibited/Laser | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1,Alchohol,No | Yes | Yes,Asian/Pacific Islander | Asian/Pacific Islander | White,Male | Male | Male,25 | 25 | 36,5 | 5 | 6,1 feet to 3 feet,Male,Black,38,Large,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,Yes | Yes | Yes
FTN2019-0367,12/2/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,3,1,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes,Black | Asian/Pacific Islander | Hispanic,Female | Male | Male,33 | 25 | 37,8 | 5 | 6,22 feet to 25 feet,Male,Black,40,Medium,5'7'' to 5'9'',No,Yes,No,,Weapon Exhibited,No | No | No
FTN2018-0127,4/9/2018,FOB - Field Operations Bureau,4th District,Unknown,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Other,3,1,Hands | Hands | Hands,L1 | L1 | L1,Unknown Drugs,Yes | Yes | Yes,Black | Black | White,Female | Female | Male,32 | 42 | 54,16 | 19 | 27,0 feet to 1 feet,Male,,53,Large,5'7'' to 5'9'',No,Yes,Yes,,Refusal of Verbal Commands,No | No | No
FTN2022-0037,1/30/2022,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,White,Male,43,11,11 feet to 14 feet,Male,Black,31,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2020-0157,5/29/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Other,1,1,Firearm (Exhibited),L1,None detected,Yes,White,Male,30,4,11 feet to 14 feet,Male,Black,17,Medium,5'10'' to 6'0'',No,Yes,Yes,,Refusal of Verbal Commands,No
FTN2024-0161,5/1/2024,FOB - Field Operations Bureau,6th District,Night Watch,Night Watch,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,6,1,Hands | Other | Other | Hands | - Hands (with injury) | Hands,L1 | L1 | L2 | L1 | L2 | L1,Unknown,Yes | Yes | Yes | Yes | Yes | Yes,White | White | White | Black | White | Black,Male | Male | Female | Female | Male | Male,41 | 41 | 49 | 36 | 39 | 30,15 | 15 | 16 | 12 | 7 | 1,*Direct Contact,Male,Black,54,Small,5'7'' to 5'9'',Yes,Yes,Yes,,Resisting Lawful Detention,No | No | No | No | No | No
FTN2019-0374,12/5/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,5,1,Takedown (w/injury) | Takedown (w/injury) | Takedown (w/injury) | Takedown (w/injury) | Takedown (w/injury),L2 | L2 | L2 | L2 | L2,Unknown Drugs,Yes | Yes | Yes | Yes | Yes,White | Asian/Pacific Islander | White | Hispanic | White,Male | Male | Male | Male | Male,47 | 25 | 30 | 37 | 36,17 | 5 | 6 | 6 | 6,0 feet to 1 feet,Male,White,34,Medium,5'7'' to 5'9'',Yes,Yes,No,,Refusal of Verbal Commands,No | No | No | No | No
FTN2023-0466,11/19/2023,FOB - Field Operations Bureau,8th District,Unknown,Investigations,Regular Working,Between 11pm-7am,Completed,UOF Justified,Other,Poor,Clear Conditions,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,White | White,Male | Male,36 | 38,6 | 5,1 feet to 3 feet,Male,Black,30,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No | No
FTN2021-0381,12/3/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,Black,Male,28,5,1 feet to 3 feet,Male,Black,23,Small,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2019-0089,3/6/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,1,CEW Deployment | CEW Deployment,L2 | L2,Mentally unstable,No | Yes,White | Black,Male | Male,36 | 44,16 | 20,11 feet to 14 feet,Male,Black,66,Large,5'10'' to 6'0'',No,Yes,No,,Weapon Exhibited,No | No
FTN2020-0273,9/18/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,Hispanic,Male,27,7,7 feet to 10 feet,Female,Black,27,Medium,5'7'' to 5'9'',No,No,No,,Weapon Exhibited,No
FTN2016-0563,11/15/2016,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,3,3,Firearm (Discharged) | Firearm (Exhibited) | Firearm (Exhibited),L4 | L1 | L1,None detected | None detected | None detected,No | Yes | Yes,Black | White | White,Male | Male | Male,37 | 52 | 24,19 | 31 | 8,7 feet to 10 feet | 7 feet to 10 feet | 7 feet to 10 feet,Male | Female | Female,White | White | White,32 | 23 | 23,Medium | Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'',No | No | No,No | No | No,No | No | No,,Resisting Officer w/Weapon,No | No | No
FTN2016-0602,12/2/2016,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,3,1,Firearm (Exhibited) | CEW Exhibited/Laser | Firearm (Exhibited),L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,27 | 32 | 23,9 | 8 | 8,1 feet to 3 feet,Male,White,40,Medium,5'4'' to 5'6'',No,Yes,No,,Refusal of Verbal Commands,No | No | No
FTN2020-0192,7/3/2020,FOB - Field Operations Bureau,Special Operations Division,Day Watch,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Not Specified,Male,32,9,11 feet to 14 feet,Female,Black,31,XLarge,5'4'' to 5'6'',No,No,No,,Tactical Deployments,No
FTN2016-0649,12/27/2016,FOB - Field Operations Bureau,7th District,Night Watch,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,CEW Exhibited/Laser,L1,Mentally unstable,Yes,Black,Male,33,20,0 feet to 1 feet,Male,Black,15,Medium,5'4'' to 5'6'',No,Yes,No,,Refusal of Verbal Commands,No
FTN2019-0230,7/10/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Rainy Conditions - Light,1,1,Firearm (Exhibited),L1,Unknown,No,White,Male,25,8,11 feet to 14 feet,Male,Black,,,,No,No,No,,Refusal of Verbal Commands,No
FTN2017-0480,9/9/2017,FOB - Field Operations Bureau,7th District,Night Watch,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Hands,L1,Alchohol,No,White,Male,34,7,0 feet to 1 feet,Male,Hispanic,0,Large,5'0'' to 5'3'',No,No,Yes,,Flight from an Officer,No
FTN2019-0092,3/7/2019,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Other,2,1,Force (Take Down) | Force (Take Down),L2 | L2,Alchohol and unknown drugs,Yes | Yes,Black | Black,Male | Male,56 | 51,26 | 27,0 feet to 1 feet,Male,Black,,Small,5'0'' to 5'3'',No,No,No,,Refusal of Verbal Commands,No | No
FTN2017-0483,9/13/2017,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,3,1,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,Alchohol and unknown drugs,Yes | Yes | Yes,White | White | White,Female | Male | Male,46 | 24 | 25,12 | 8 | 8,19 feet to 21 feet,Male,Black,40,Medium,5'7'' to 5'9'',No,No,Yes,,Weapon Exhibited,No | No | No
FTN2017-0486,9/13/2017,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1,CEW Exhibited/Laser,L1,None detected,Yes,Black,Male,28,9,4 feet to 6 feet,Female,Black,30,Medium,5'4'' to 5'6'',No,No,No,,Other,No
FTN2020-0183,6/26/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Arresting,Good,Clear Conditions,4,2,Force (Escort Tech) | Force (Escort Tech) | Force (Escort Tech) | Force (Escort Tech),L1 | L1 | L1 | L1,None detected | None detected,Yes | Yes | Yes | Yes,Hispanic | Hispanic | Asian/Pacific Islander | White,Male | Male | Male | Male,27 | 26 | 26 | 37,7 | 7 | 5 | 6,0 feet to 1 feet | 0 feet to 1 feet,Male | Male,Black | Black,42 | 32,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,No | No,,Refusal of Verbal Commands,No | No | No | No
FTN2020-0186,6/29/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,2,Firearm (Exhibited),L1,None detected | None detected,Yes,White,Male,27,7,11 feet to 14 feet | 11 feet to 14 feet,Male | Sex-Unk,Black | Race-Unknown,19 | ,Large | Large,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,No | No,Yes | Yes,,Flight from an Officer,No
FTN2017-0499,9/20/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,2,Firearm (Exhibited),L1,Alchohol | Alchohol,Yes,White,Male,42,15,22 feet to 25 feet | 22 feet to 25 feet,Male | Male,Black | Black,26 | 26,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,Yes | Yes,Yes | Yes,,Weapon Exhibited,No
FTN2020-0197,7/6/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,3,2,Firearm (Exhibited) | Firearm (Exhibited) | CEW Deployment,L1 | L1 | L2,None detected | None detected,Yes | No | Yes,White | White | White,Male | Male | Male,37 | 27 | 27,16 | 7 | 7,4 feet to 6 feet | 4 feet to 6 feet,Male | Male,Black | Black,17 | 16,Small | Small,5'4'' to 5'6'' | 5'4'' to 5'6'',No | No,Yes | Yes,Yes | Yes,,Flight from an Officer,No | No | No
FTN2021-0206,7/2/2021,FOB - Field Operations Bureau,8th District,B Platoon,Unknown,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,2,1,Hands | Force (Escort Tech),L1 | L1,Unknown,Yes | Yes,White | White,Male | Male,44 | 36,8 | 5,0 feet to 1 feet,Male,Black,19,Medium,5'10'' to 6'0'',No,Yes,No,,Resisting Lawful Arrest,No | No
FTN2020-0259,9/3/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1,CEW Deployment,L2,Mentally unstable,Yes,Black,Male,45,20,7 feet to 10 feet,Male,Black,57,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Weapon Exhibited,No
FTN2017-0526,10/6/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1,CEW Exhibited/Laser,L1,None detected,Yes,Asian/Pacific Islander,Male,25,8,7 feet to 10 feet,Male,Black,53,Medium,6'1'' to 6'3'',No,No,Yes,,Flight from an Officer,No
FTN2021-0410,11/25/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,2,1,Takedown (no injury) | Takedown (no injury),L1 | L1,Unknown,Yes | Yes,White | Black,Male | Male,42 | 28,11 | 5,0 feet to 1 feet,Male,Black,42,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2017-0554,10/22/2017,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,2,1,Force (Take Down) | Force (Take Down),L2 | L2,Unknown Drugs,Yes | Yes,Black | White,Male | Male,23 | 27,8 | ,0 feet to 1 feet,Male,Black,45,Medium,5'10'' to 6'0'',No,No,Yes,,Flight from an Officer,Yes | No
FTN2023-0420,10/6/2023,FOB - Field Operations Bureau,8th District,Unknown,Bourbon Street,Regular Working,,Completed,UOF Justified,Other,Poor,Clear Conditions,1,1,Takedown (no injury),L1,Unknown,Yes,White,Male,26,4,0 feet to 1 feet,Male,Black,35,Small,5'10'' to 6'0'',No,No,No,,Resisting Lawful Arrest,No
FTN2019-0215,6/23/2019,FOB - Field Operations Bureau,1st District,C Platoon,,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,32,6,22 feet to 25 feet,Male,Black,21,Medium,5'7'' to 5'9'',No,No,Yes,,Weapon Exhibited,No
FTN2018-0418,11/12/2018,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Rainy Conditions - Light,2,1,CEW Deployment | CEW Exhibited/Laser,L2 | L1,None detected,No | Yes,White | Hispanic,Female | Male,43 | 28,16 | 7,4 feet to 6 feet,Male,Black,39,Medium,> 6'3'',No,No,Yes,,Flight from an Officer,No | No
FTN2019-0220,6/27/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,3,1,Firearm (Exhibited) | CEW Exhibited/Laser | Firearm (Exhibited),L1 | L1 | L1,None detected,Yes | Yes | Yes,White | White | White,Male | Male | Male,31 | 36 | 36,8 | 6 | 6,19 feet to 21 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,No,Yes,,Room Clearing,No | No | No
FTN2018-0424,11/16/2018,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown Drugs,Yes,White,Male,24,7,0 feet to 1 feet,Male,Black,,Small,5'7'' to 5'9'',No,Yes,Yes,,Weapon Exhibited,No
FTN2019-0019,1/13/2019,FOB - Field Operations Bureau,8th District,C Platoon,,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Arresting,Good,Clear Conditions,3,1,Hands | Hands | Force (Take Down),L1 | L1 | L2,Unknown,Yes | Yes | Yes,White | White | White,Male | Male | Male,37 | 32 | 28,14 | 9 | 8,4 feet to 6 feet,Male,Black,52,Medium,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No | No | No
FTN2018-0427,11/18/2018,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Force (Defense Tech),L2,Alchohol,Yes,White,Male,27,8,0 feet to 1 feet,Male,White,28,Medium,6'1'' to 6'3'',No,No,Yes,,Battery on Police Officer,No
FTN2020-0317,10/30/2020,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Other,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Hispanic,Male,30,5,15 feet to 18 feet,Male,Black,44,Medium,5'4'' to 5'6'',No,Yes,Yes,,Resisting Officer w/Weapon,No
