PIB File Number,Subject Influencing Factors,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested
FTN2021-0270,None detected,22 feet to 25 feet,Male,Black,53,Large,5'7'' to 5'9'',No,No,No
FTN2020-0058,Alchohol,0 feet to 1 feet,Male,Black,28,Large,> 6'3'',No,No,Yes
FTN2019-0260,Alchohol,0 feet to 1 feet,Female,White,26,Small,5'0'' to 5'3'',No,No,Yes
FTN2017-0348,None detected,1 feet to 3 feet,Male,Black,25,Medium,5'7'' to 5'9'',No,No,No
FTN2017-0440,Unknown,1 feet to 3 feet,Male,Black,23,Medium,5'4'' to 5'6'',Yes,Yes,Yes
FTN2022-0133,Unknown,11 feet to 14 feet,Male,Black,49,Medium,5'10'' to 6'0'',No,No,No
FTN2016-0590,Alchohol and unknown drugs,0 feet to 1 feet,Male,White,24,Medium,5'10'' to 6'0'',No,No,Yes
FTN2017-0509,None detected,4 feet to 6 feet,Male,Black,19,Medium,> 6'3'',No,No,Yes
FTN2017-0606,None detected,1 feet to 3 feet,Male,Black,28,Medium,5'7'' to 5'9'',No,No,Yes
FTN2019-0205,Unknown,7 feet to 10 feet,Male,Black,27,Large,5'10'' to 6'0'',No,No,Yes
FTN2017-0626,Unknown Drugs,1 feet to 3 feet,Male,Black,28,Small,5'10'' to 6'0'',No,No,Yes
FTN2022-0119,None detected,4 feet to 6 feet,Female,Black,29,Large,5'4'' to 5'6'',No,Yes,Yes
FTN2021-0261,None detected,11 feet to 14 feet,Male,Black,33,Small,5'7'' to 5'9'',No,No,Yes
FTN2018-0195,Unknown,4 feet to 6 feet,Male,Black,25,Medium,5'10'' to 6'0'',No,No,Yes
FTN2021-0375,Mentally unstable,0 feet to 1 feet,Female,Black,32,Large,5'0'' to 5'3'',No,Yes,No
FTN2018-0129,Unknown,1 feet to 3 feet,Male,Black,42,Small,5'4'' to 5'6'',No,No,Yes
FTN2020-0155,Mentally unstable,Unknown,Male,Black,46,Large,Unknown,Yes,Yes,No
FTN2019-0072,Unknown,11 feet to 14 feet,Male,Black,29,Medium,5'7'' to 5'9'',No,No,Yes
FTN2021-0409,Unknown,1 feet to 3 feet,Female,Black,31,Small,5'0'' to 5'3'',No,No,Yes
FTN2018-0335,Alchohol,11 feet to 14 feet,Male,White,30,Medium,5'10'' to 6'0'',No,No,No
FTN2018-0413,Unknown ,4 feet to 6 feet ,Male ,Black ,24 ,Medium ,5'10'' to 6'0'' ,No ,Yes ,Yes 
FTN2018-0413, Unknown, 4 feet to 6 feet, Male, Black, 32, Medium, 5'10'' to 6'0'', No, Yes, Yes
FTN2016-0158,None detected,1 feet to 3 feet,Male,Black,21,Medium,5'10'' to 6'0'',No,No,Yes
FTN2019-0269,Unknown,7 feet to 10 feet,Male,Black,31,Medium,5'10'' to 6'0'',No,No,Yes
FTN2020-0204,Unknown,1 feet to 3 feet,Male,Black,50,Medium,5'7'' to 5'9'',No,No,Yes
FTN2019-0309,Mentally unstable,0 feet to 1 feet,Male,Black,34,Medium,6'1'' to 6'3'',Yes,Yes,Yes
FTN2020-0208,None detected,19 feet to 21 feet,Male,Black,57,Medium,6'1'' to 6'3'',No,No,Yes
FTN2021-0197,Alchohol,0 feet to 1 feet,Female,White,38,Large,5'0'' to 5'3'',No,No,Yes
FTN2021-0366,Unknown,4 feet to 6 feet,Male,White,28,Small,5'10'' to 6'0'',No,Yes,Yes
FTN2020-0164,None detected,0 feet to 1 feet,Male,Black,28,Medium,6'1'' to 6'3'',Yes,Yes,Yes
FTN2020-0174,Unknown,1 feet to 3 feet,Male,Black,24,Medium,5'10'' to 6'0'',No,No,No
FTN2017-0473,Unknown ,1 feet to 3 feet ,Male ,Black ,23 ,XLarge ,5'7'' to 5'9'' ,No ,No ,Yes 
FTN2017-0473, Unknown , 1 feet to 3 feet , Female , Black , 22 , XLarge , 5'7'' to 5'9'' , No , No , Yes 
FTN2017-0473, Unknown , 1 feet to 3 feet , Male , Black , 21 , XLarge , 5'7'' to 5'9'' , No , No , Yes 
FTN2017-0473, Unknown, 1 feet to 3 feet, Female, Black, 24, XLarge, 5'7'' to 5'9'', No, No, Yes
FTN2019-0361,None detected,7 feet to 10 feet,Male,Black,15,Small,5'0'' to 5'3'',No,No,Yes
FTN2017-0520,None detected,0 feet to 1 feet,Female,Black,16,Medium,5'4'' to 5'6'',No,Yes,Yes
FTN2020-0015,Unknown,4 feet to 6 feet,Male,Black,26,Small,6'1'' to 6'3'',No,Yes,Yes
FTN2020-0252,Mentally unstable,0 feet to 1 feet,Male,Black,34,Small,5'4'' to 5'6'',No,No,Yes
FTN2022-0046,Mentally unstable,0 feet to 1 feet,Male,Black,27,Small,5'7'' to 5'9'',No,Yes,Yes
FTN2021-0386,None detected,0 feet to 1 feet,Female,Black,18,Large,5'4'' to 5'6'',No,No,Yes
FTN2021-0051,Unknown,11 feet to 14 feet,Male,Black,16,Small,5'7'' to 5'9'',No,No,Yes
FTN2016-0632,None detected,7 feet to 10 feet,Male,Black,Unknown,Medium,5'7'' to 5'9'',No,No,Yes
FTN2018-0450,Mentally unstable,0 feet to 1 feet,Male,Black,16,Small,5'4'' to 5'6'',No,Yes,No
FTN2021-0389,Mentally unstable,0 feet to 1 feet,Male,Black,25,Small,5'0'' to 5'3'',No,No,No
FTN2021-0043,Mentally unstable,0 feet to 1 feet,Female,Black,26,Small,5'0'' to 5'3'',No,Yes,No
FTN2020-0298,Mentally unstable,0 feet to 1 feet,Male,White,22,Medium,6'1'' to 6'3'',No,Yes,No
FTN2019-0014,Mentally unstable,0 feet to 1 feet,Male,White,37,Medium,5'7'' to 5'9'',No,Yes,No
FTN2020-0203,None detected,0 feet to 1 feet,Female,Black,32,Medium,5'7'' to 5'9'',Yes,No,Yes
FTN2019-0209,None detected ,11 feet to 14 feet ,Male ,Black ,27 ,Medium ,5'10'' to 6'0'' ,No ,No ,No 
FTN2019-0209, None detected, 11 feet to 14 feet, Female, White, 26, Medium, 5'10'' to 6'0'', No, No, No
FTN2020-0294,None detected,1 feet to 3 feet,Male,Black,47,Large,5'7'' to 5'9'',No,Yes,Yes
FTN2017-0464,Unknown,0 feet to 1 feet,Female,White,33,Medium,5'4'' to 5'6'',No,No,Yes
FTN2020-0291,None detected,11 feet to 14 feet,Male,Black,36,Large,6'1'' to 6'3'',No,No,Yes
FTN2020-0320,Unknown,7 feet to 10 feet,Male,Black,33,Small,5'7'' to 5'9'',No,No,Yes
FTN2018-0410,Unknown ,0 feet to 1 feet ,Male ,Black ,51 ,Large ,5'7'' to 5'9'' ,No ,Yes ,Yes 
FTN2018-0410, Unknown, 0 feet to 1 feet, Male, Black, 50, Large, 5'7'' to 5'9'', No, Yes, Yes
FTN2018-0420,Alchohol,15 feet to 18 feet,Male,White,49,Medium,5'10'' to 6'0'',No,No,Yes
FTN2020-0385,Mentally unstable,22 feet to 25 feet,Male,Black,40,Medium,5'10'' to 6'0'',No,No,Yes
FTN2019-0285,None detected,15 feet to 18 feet,Male,Black,49,Medium,5'7'' to 5'9'',No,No,Yes
FTN2019-0332,Unknown,0 feet to 1 feet,Male,Black,53,Medium,> 6'3'',Yes,Yes,Yes
FTN2020-0329,Unknown,7 feet to 10 feet,Male,Black,42,Small,6'1'' to 6'3'',No,Yes,Yes
FTN2021-0038,Alchohol and unknown drugs,11 feet to 14 feet,Male,Black,0,Small,> 6'3'',No,No,No
FTN2021-0391,Unknown,1 feet to 3 feet,Female,White,37,Small,5'4'' to 5'6'',No,No,Yes
FTN2022-0120,Mentally unstable,0 feet to 1 feet,Male,Black,17,Medium,5'7'' to 5'9'',No,Yes,Yes
FTN2022-0131,None detected,1 feet to 3 feet,Male,Black,33,Medium,5'7'' to 5'9'',No,Yes,Yes
FTN2017-0513,Alchohol,0 feet to 1 feet,Female,White,39,Small,5'0'' to 5'3'',No,No,Yes
FTN2017-0522,Unknown Drugs,0 feet to 1 feet,Male,Black,26,Medium,> 6'3'',No,Yes,Yes
FTN2017-0525,Unknown,7 feet to 10 feet,Male,Hispanic,17,Medium,5'10'' to 6'0'',No,Yes,Yes
FTN2021-0158,Alchohol and unknown drugs,0 feet to 1 feet,Male,Black,31,Medium,5'7'' to 5'9'',No,Yes,Yes
FTN2019-0284,Mentally unstable,0 feet to 1 feet,Female,Black,45,Large,5'0'' to 5'3'',No,Yes,No
FTN2021-0077,Unknown,Unknown,Male,Black,36,Unknown,Unknown,No,No,Yes
FTN2017-0272,Unknown,7 feet to 10 feet,Male,Black,17,Small,5'4'' to 5'6'',No,No,Yes
FTN2020-0128,Unknown,0 feet to 1 feet,Male,Black,17,Small,5'4'' to 5'6'',No,No,No
FTN2017-0223,Unknown,4 feet to 6 feet,Female,Black,Unknown,Unknown,Unknown,No,No,No
FTN2019-0298,Unknown,0 feet to 1 feet,Male,Black,35,Large,5'10'' to 6'0'',No,Yes,Yes
FTN2019-0330,Mentally unstable,0 feet to 1 feet,Female,Black,17,Small,5'0'' to 5'3'',No,Yes,No
FTN2017-0617,Alchohol,1 feet to 3 feet,Male,White,38,Medium,6'1'' to 6'3'',No,Yes,Yes
FTN2016-0401,Unknown Drugs,0 feet to 1 feet,Male,Hispanic,37,Large,5'10'' to 6'0'',Yes,Yes,No
FTN2018-0280,Unknown,1 feet to 3 feet,Female,White,31,Small,5'4'' to 5'6'',No,Yes,Yes
FTN2023-0150,None detected,15 feet to 18 feet,Male,Black,28,Medium,5'7'' to 5'9'',No,No,Yes
FTN2020-0140,None detected,11 feet to 14 feet,Male,Black,24,Large,6'1'' to 6'3'',No,No,Yes
FTN2017-0601,None detected,1 feet to 3 feet,Male,Black,0,Medium,6'1'' to 6'3'',No,No,No
FTN2018-0293,Unknown,1 feet to 3 feet,Male,Black,30,Medium,5'10'' to 6'0'',Yes,Yes,Yes
FTN2018-0331,Unknown,1 feet to 3 feet,Male,Black,32,Medium,5'7'' to 5'9'',Yes,Yes,Yes
FTN2022-0059,Unknown,0 feet to 1 feet,Male,Black,41,Medium,5'4'' to 5'6'',Yes,Yes,Yes
FTN2019-0362,Unknown,0 feet to 1 feet,Male,Black,49,Medium,5'7'' to 5'9'',Yes,No,Yes
FTN2018-0353,Unknown,1 feet to 3 feet,Male,Black,32,Medium,5'10'' to 6'0'',No,No,No
FTN2023-0152,None detected,11 feet to 14 feet,Male,Black,40,Small,6'1'' to 6'3'',No,Yes,Yes
FTN2023-0016,Mentally unstable,0 feet to 1 feet,Female,Unknown,15,Small,Unknown,No,Yes,No
FTN2016-0647,None detected ,11 feet to 14 feet ,Male ,Black ,18 ,Medium ,5'7'' to 5'9'' ,No ,No ,Yes 
FTN2016-0647, None detected, 11 feet to 14 feet, Male, Black, 19, Medium, 5'7'' to 5'9'', No, No, Yes
FTN2023-0170,Unknown,15 feet to 18 feet,Male,Black,Unknown,Small,5'4'' to 5'6'',No,No,No
FTN2024-0116,Unknown,*Direct Contact,Male,Black,19,Small,5'7'' to 5'9'',No,Yes,Yes
FTN2020-0022,Unknown ,4 feet to 6 feet ,Male ,Black ,33 ,Medium ,5'10'' to 6'0'' ,No ,No ,Yes 
FTN2020-0022, Unknown, 4 feet to 6 feet, Male, Black, 37, Medium, 5'10'' to 6'0'', No, No, Yes
FTN2020-0023,Unknown,0 feet to 1 feet,Male,Black,32,Medium,5'10'' to 6'0'',No,Yes,Yes
FTN2017-0633,None detected,0 feet to 1 feet,Male,Black,24,Medium,5'4'' to 5'6'',No,No,Yes
FTN2018-0426,Unknown,1 feet to 3 feet,Male,White,26,Medium,6'1'' to 6'3'',No,No,Yes
FTN2017-0502,None detected ,11 feet to 14 feet ,Male ,Black ,23 ,Medium ,5'10'' to 6'0'' ,No ,No ,Yes 
FTN2017-0502, None detected, 11 feet to 14 feet, Male, Black, 24, Medium, 5'10'' to 6'0'', No, No, Yes
FTN2023-0204,Mentally unstable,1 feet to 3 feet,Female,Black,35,Medium,5'4'' to 5'6'',No,No,Yes
FTN2021-0345,Unknown ,7 feet to 10 feet ,Male ,Black ,Unknown,Unknown,Unknown,No ,No ,No 
FTN2021-0345, Unknown, 7 feet to 10 feet, Male, Black,Unknown,Unknown,Unknown, No, No, No
FTN2023-0257,Unknown ,7 feet to 10 feet ,Male ,Black ,23 ,Medium ,> 6'3'' ,No ,No ,Yes 
FTN2023-0257, Unknown, 7 feet to 10 feet, Male, , 23, Medium, > 6'3'', No, No, Yes
FTN2024-0067,Mentally unstable,0 feet to 1 feet,Male,Black,36,Medium,> 6'3'',No,Yes,No
FTN2018-0389,None detected,1 feet to 3 feet,Female,Black,20,Medium,5'4'' to 5'6'',No,No,No
FTN2022-0002,Alchohol,0 feet to 1 feet,Male,White,36,Medium,5'7'' to 5'9'',Yes,No,Yes
FTN2018-0456,Unknown ,0 feet to 1 feet ,Male ,Black ,25 ,Small ,5'4'' to 5'6'' ,Yes ,Yes ,Yes 
FTN2018-0456, Unknown, 0 feet to 1 feet, Male, Black, 20, Small, 5'4'' to 5'6'', Yes, Yes, Yes
FTN2020-0093,Unknown,15 feet to 18 feet,Male,Black,37,Medium,5'7'' to 5'9'',No,No,Yes
FTN2019-0390,Mentally unstable,0 feet to 1 feet,Male,Hispanic,Unknown,Large,5'7'' to 5'9'',No,Yes,No
FTN2017-0463,Alchohol and unknown drugs,11 feet to 14 feet,Male,White,23,Medium,5'10'' to 6'0'',No,Yes,Yes
FTN2017-0515,Unknown,0 feet to 1 feet,Male,Hispanic,Unknown,Medium,5'4'' to 5'6'',No,No,Yes
FTN2017-0518,None detected,Unknown,Male,Black,20,Medium,5'7'' to 5'9'',No,No,No
FTN2017-0521,Unknown,0 feet to 1 feet,Male,Black,19,Small,5'0'' to 5'3'',No,No,Yes
FTN2017-0528,Mentally unstable,1 feet to 3 feet,Male,Black,59,Medium,5'7'' to 5'9'',No,Yes,Yes
FTN2017-0542,Unknown ,11 feet to 14 feet ,Male ,Black ,37 ,Medium ,5'7'' to 5'9'' ,No ,No ,Yes 
FTN2017-0542, Unknown , 11 feet to 14 feet , Male , Black , 35 , Medium , 5'7'' to 5'9'' , No , No , Yes 
FTN2017-0542, Unknown, 11 feet to 14 feet, Male, Black, 32, Medium, 5'7'' to 5'9'', No, No, Yes
FTN2017-0551,Mentally unstable,0 feet to 1 feet,Male,White,63,Medium,6'1'' to 6'3'',Yes,Yes,Yes
FTN2017-0605,Unknown,0 feet to 1 feet,Male,Black,23,Small,5'7'' to 5'9'',No,No,Yes
FTN2018-0419,None detected,11 feet to 14 feet,Male,Black,16,Small,5'7'' to 5'9'',No,No,Yes
FTN2017-0293,None detected,4 feet to 6 feet,Male,Black,36,Medium,5'10'' to 6'0'',No,No,No
FTN2018-0431,Mentally unstable,0 feet to 1 feet,Female,Black,17,Small,5'0'' to 5'3'',Yes,Yes,Yes
FTN2019-0395,Mentally unstable,0 feet to 1 feet,Female,Black,24,Small,5'0'' to 5'3'',No,Yes,No
FTN2018-0445,Unknown ,4 feet to 6 feet ,Male ,White , ,Medium ,5'10'' to 6'0'' ,No ,No ,Yes 
FTN2018-0445, Unknown , 4 feet to 6 feet , Male , White , 26 , Medium , 5'10'' to 6'0'' , No , No , Yes 
FTN2018-0445, Unknown, 4 feet to 6 feet, Male, White, 36, Medium, 5'10'' to 6'0'', No, No, Yes
FTN2018-0462,Mentally unstable,0 feet to 1 feet,Female,Black,16,Small,5'4'' to 5'6'',No,Yes,No
FTN2018-0471,Unknown,11 feet to 14 feet,Male,Black,33,Small,5'4'' to 5'6'',No,No,Yes
FTN2019-0006,Mentally unstable,11 feet to 14 feet,Male,Black,65,Small,5'10'' to 6'0'',No,Yes,Yes
FTN2019-0009,Unknown Drugs,0 feet to 1 feet,Male,Black,41,Large,5'10'' to 6'0'',Yes,Yes,Yes
FTN2019-0011,Unknown,11 feet to 14 feet,Male,Black,35,Medium,6'1'' to 6'3'',No,Yes,Yes
FTN2019-0027,Mentally unstable,0 feet to 1 feet,Male,White,33,Small,6'1'' to 6'3'',No,Yes,Yes
FTN2019-0029,Unknown,0 feet to 1 feet,Male,Black,41,Medium,6'1'' to 6'3'',Yes,No,Yes
FTN2019-0033,Mentally unstable,1 feet to 3 feet,Female,White,43,Small,5'0'' to 5'3'',No,Yes,Yes
FTN2024-0197,Mentally unstable ,22 feet to 25 feet ,Male ,Black , ,Medium ,5'4'' to 5'6'' ,No ,Yes ,Yes 
FTN2024-0197, Mentally unstable, 22 feet to 25 feet, Female, Black, 24, Medium, 5'4'' to 5'6'', No, Yes, Yes
FTN2019-0045,Mentally unstable,1 feet to 3 feet,Female,Black,21,Medium,< 5'0'',No,Yes,No
FTN2019-0049,None detected ,1 feet to 3 feet ,Male ,Black ,0 ,Medium ,5'7'' to 5'9'' ,No ,No ,Yes 
FTN2019-0049, None detected, 1 feet to 3 feet, Male, Black, 33, Medium, 5'7'' to 5'9'', No, No, Yes
FTN2019-0052,None detected,Unknown,Female,Black,25,Small,5'0'' to 5'3'',Yes,Yes,Yes
FTN2019-0062,Mentally unstable,1 feet to 3 feet,Male,Black,46,Large,6'1'' to 6'3'',No,No,Yes
FTN2018-0378,Alchohol,1 feet to 3 feet,Male,White,40,Large,> 6'3'',No,Yes,Yes
FTN2020-0193,Mentally unstable,1 feet to 3 feet,Male,Black,37,Medium,5'7'' to 5'9'',No,Yes,No
FTN2020-0126,None detected,7 feet to 10 feet,Male,Black,31,Small,5'10'' to 6'0'',No,No,Yes
FTN2020-0150,None detected,0 feet to 1 feet,Female,Black,35,Medium,5'7'' to 5'9'',No,No,Yes
FTN2023-0284,None detected,4 feet to 6 feet,Male,Black,19,Medium,5'0'' to 5'3'',Yes,Yes,Yes
FTN2020-0179,Unknown,0 feet to 1 feet,Male,Black,28,Medium,5'10'' to 6'0'',No,Yes,No
FTN2024-0141,Unknown ,4 feet to 6 feet , , ,Unknown,Medium ,5'10'' to 6'0'' ,No ,No ,No 
FTN2024-0141, Unknown, 4 feet to 6 feet, Male, Black,Unknown, Medium, 5'10'' to 6'0'', No, No, No
FTN2020-0187,None detected ,19 feet to 21 feet ,Male ,Black ,30 ,Medium ,5'10'' to 6'0'' ,No ,Yes ,No 
FTN2020-0187, None detected, 19 feet to 21 feet, Male, Black, 26, Medium, 5'10'' to 6'0'', No, Yes, No
FTN2023-0302,None detected,0 feet to 1 feet,Male,Black,27,Large,5'4'' to 5'6'',No,Yes,Yes
FTN2020-0205,Mentally unstable,0 feet to 1 feet,Male,Black,Unknown,Medium,5'10'' to 6'0'',No,Yes,No
FTN2020-0219,Unknown,Unknown,Male ,Black ,26 ,Unknown,Unknown,Yes ,Yes ,Yes 
FTN2020-0219,Unknown,Unknown, Male, Black, 23,Unknown,Unknown, Yes, Yes, Yes
FTN2020-0220,Mentally unstable,0 feet to 1 feet,Male,Black,30,Medium,5'10'' to 6'0'',No,Yes,No
FTN2020-0239,Mentally unstable,1 feet to 3 feet,Male,Black,30,Small,5'4'' to 5'6'',No,Yes,No
FTN2020-0240,Alchohol,0 feet to 1 feet,Male,Hispanic,35,Small,5'4'' to 5'6'',Yes,No,Yes
FTN2020-0248,Mentally unstable,0 feet to 1 feet,Male,White,35,Medium,> 6'3'',No,Yes,No
FTN2020-0256,None detected,0 feet to 1 feet,Female,Indian,27,Large,5'0'' to 5'3'',Yes,Yes,Yes
FTN2020-0288,Mentally unstable,4 feet to 6 feet,Male,Black,59,Medium,5'7'' to 5'9'',Yes,Yes,No
FTN2020-0265,Unknown,Unknown,Male,Black,28,Unknown,Unknown,No,No,No
FTN2020-0271,Unknown,Unknown,Male ,Black ,26 ,Unknown,Unknown,No ,No ,No 
FTN2020-0271,Unknown,Unknown, Male, Black, 28,Unknown,Unknown, No, No, No
FTN2020-0277,None detected,15 feet to 18 feet,Female,Black,27,Medium,5'4'' to 5'6'',Yes,Yes,Yes
FTN2020-0282,Alchohol and unknown drugs,0 feet to 1 feet,Female,White,33,Medium,5'7'' to 5'9'',No,Yes,Yes
FTN2020-0285,Unknown,0 feet to 1 feet,Male,Black,48,Medium,5'7'' to 5'9'',Yes,Yes,Yes
FTN2021-0328,Mentally unstable,0 feet to 1 feet,Female,Black,29,Large,5'4'' to 5'6'',No,Yes,Yes
FTN2021-0334,Unknown ,7 feet to 10 feet ,Male ,Black ,28 ,Small ,5'7'' to 5'9'' ,No ,No ,Yes 
FTN2021-0334, Unknown, 7 feet to 10 feet, Male, Black, 24, Small, 5'7'' to 5'9'', No, No, Yes
FTN2021-0339,Mentally unstable,1 feet to 3 feet,Male,Black,36,Large,> 6'3'',No,Yes,No
FTN2021-0357,Mentally unstable,0 feet to 1 feet,Male,Black,21,Medium,5'7'' to 5'9'',No,Yes,No
FTN2021-0363,Unknown,1 feet to 3 feet,Male,Black,25,Medium,6'1'' to 6'3'',No,No,Yes
FTN2021-0143,Unknown,22 feet to 25 feet,Male,Black,Unknown,Medium,5'10'' to 6'0'',No,No,No
FTN2021-0392,Mentally unstable,1 feet to 3 feet,Male,White,34,Large,6'1'' to 6'3'',Yes,Yes,No
FTN2021-0224,Unknown ,11 feet to 14 feet ,Male ,Black , ,Unknown,Unknown,No ,No ,No 
FTN2021-0224, Unknown, 11 feet to 14 feet, Male, Black, 1,Unknown,Unknown, No, No, No
FTN2021-0378,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
FTN2020-0178,Mentally unstable,1 feet to 3 feet,Male,Black,19,Medium,5'10'' to 6'0'',No,No,Yes
FTN2021-0411,Mentally unstable,0 feet to 1 feet,Male,Black,38,Large,5'7'' to 5'9'',No,Yes,Yes
FTN2022-0050,Unknown,0 feet to 1 feet,Male,Black,26,Small,5'0'' to 5'3'',Yes,Yes,Yes
FTN2017-0588,None detected,0 feet to 1 feet,Unknown,Unknown,Unknown,Medium,6'1'' to 6'3'',No,No,No
FTN2020-0070,Unknown,0 feet to 1 feet,Male,Black,46,Large,5'7'' to 5'9'',No,No,Yes
FTN2018-0362,Unknown,0 feet to 1 feet,Male,Black,23,Small,5'10'' to 6'0'',Yes,Yes,Yes
FTN2022-0017,None detected ,0 feet to 1 feet ,Male ,Black ,46 ,Medium ,5'7'' to 5'9'' ,No ,Yes ,Yes 
FTN2022-0017, None detected, 0 feet to 1 feet, Male, Black, 43, Medium, 5'7'' to 5'9'', No, Yes, Yes
FTN2019-0350,Unknown ,7 feet to 10 feet ,Male ,Black ,31 ,Medium ,5'7'' to 5'9'' ,No ,No ,No 
FTN2019-0350, Unknown, 7 feet to 10 feet, Female, Black, , Medium, 5'7'' to 5'9'', No, No, No
FTN2019-0058,Unknown ,7 feet to 10 feet ,Female ,Black ,18 ,Medium ,5'10'' to 6'0'' ,Yes ,Yes ,Yes 
FTN2019-0058, Unknown , 7 feet to 10 feet , Male , Black , 34 , Medium , 5'10'' to 6'0'' , Yes , Yes , Yes 
FTN2019-0058, Unknown , 7 feet to 10 feet , Male , Hispanic , 38 , Medium , 5'10'' to 6'0'' , Yes , Yes , Yes 
FTN2019-0058, Unknown , 7 feet to 10 feet , Male , Black , 34 , Medium , 5'10'' to 6'0'' , Yes , Yes , Yes 
FTN2019-0058, Unknown , 7 feet to 10 feet , Male , Black , 33 , Medium , 5'10'' to 6'0'' , Yes , Yes , Yes 
FTN2019-0058, Unknown, 7 feet to 10 feet, Male, Black, 33, Medium, 5'10'' to 6'0'', Yes, Yes, Yes
FTN2022-0027,Unknown,19 feet to 21 feet,Male,Black,37,XLarge,6'1'' to 6'3'',No,No,Yes
FTN2022-0039,None detected ,0 feet to 1 feet ,Male ,Black ,24 ,Small ,5'10'' to 6'0'' ,Yes ,Yes ,Yes 
FTN2022-0039, None detected , 0 feet to 1 feet , Male , Black , 17 , Small , 5'10'' to 6'0'' , Yes , Yes , Yes 
FTN2022-0039, None detected, 0 feet to 1 feet, Male, Black, 17, Small, 5'10'' to 6'0'', Yes, Yes, Yes
FTN2022-0041,Alchohol,0 feet to 1 feet,Male,Black,27,Medium,6'1'' to 6'3'',No,No,Yes
FTN2022-0040,None detected ,1 feet to 3 feet ,Male ,Black ,21 ,Small ,5'4'' to 5'6'' ,No ,No ,Yes 
FTN2022-0040, None detected , 1 feet to 3 feet , Male , Black , 17 , Small , 5'4'' to 5'6'' , No , No , Yes 
FTN2022-0040, None detected, 1 feet to 3 feet, Male, Black, 18, Small, 5'4'' to 5'6'', No, No, Yes
FTN2022-0049,None detected,0 feet to 1 feet,Male,Black,26,Small,5'4'' to 5'6'',No,No,Yes
FTN2019-0080,None detected,0 feet to 1 feet,Male,Black,19,Medium,5'10'' to 6'0'',Yes,No,Yes
FTN2019-0107,Unknown,0 feet to 1 feet,Male,Hispanic,22,Medium,5'7'' to 5'9'',No,No,No
FTN2019-0111,None detected,0 feet to 1 feet,Male,Black,24,Medium,5'10'' to 6'0'',No,Yes,Yes
FTN2019-0114,Alchohol,1 feet to 3 feet,Male,Black,43,Medium,5'4'' to 5'6'',No,Yes,Yes
FTN2019-0115,None detected,4 feet to 6 feet,Male,Black,25,Medium,5'4'' to 5'6'',No,No,Yes
FTN2019-0120,None detected ,4 feet to 6 feet ,Male ,Black ,17 ,Medium ,5'7'' to 5'9'' ,No ,Yes ,Yes 
FTN2019-0120, None detected, 4 feet to 6 feet, Male, Black, 17, Medium, 5'7'' to 5'9'', No, Yes, Yes
FTN2019-0130,Alchohol and unknown drugs,1 feet to 3 feet,Female,Black,37,Large,5'0'' to 5'3'',No,Yes,No
FTN2019-0145,Mentally unstable,0 feet to 1 feet,Male,Black,30,Large,5'10'' to 6'0'',Yes,Yes,Yes
FTN2019-0146,Alchohol,0 feet to 1 feet,Male,Hispanic,35,Medium,5'4'' to 5'6'',Yes,Yes,Yes
FTN2021-0312,Alchohol and unknown drugs,1 feet to 3 feet,Male,Black,54,Medium,5'7'' to 5'9'',Yes,No,Yes
FTN2019-0178,Alchohol ,22 feet to 25 feet ,Female ,Black ,34 ,XLarge ,6'1'' to 6'3'' ,No ,Yes ,Yes 
FTN2019-0178, Alchohol , 22 feet to 25 feet , Female , Black , 38 , XLarge , 6'1'' to 6'3'' , No , Yes , Yes 
FTN2019-0178, Alchohol, 22 feet to 25 feet, Female, Black, 37, XLarge, 6'1'' to 6'3'', No, Yes, Yes
FTN2019-0195,None detected,0 feet to 1 feet,Male,Black,25,Large,6'1'' to 6'3'',No,No,Yes
FTN2019-0198,Alchohol and unknown drugs,0 feet to 1 feet,Male,White,33,Large,5'10'' to 6'0'',Yes,Yes,Yes
FTN2019-0207,Mentally unstable,1 feet to 3 feet,Female,Black,23,Medium,5'0'' to 5'3'',Yes,Yes,Yes
FTN2018-0296,None detected,22 feet to 25 feet,Male,Black,19,Large,6'1'' to 6'3'',No,No,Yes
FTN2019-0212,None detected,4 feet to 6 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,No,Yes
FTN2019-0219,Unknown,0 feet to 1 feet,Female,Black,22,Large,5'4'' to 5'6'',Yes,Yes,Yes
FTN2018-0317,Unknown,0 feet to 1 feet,Male,Black,21,Medium,5'7'' to 5'9'',No,No,Yes
FTN2020-0289,None detected,0 feet to 1 feet,Male,Black,20,Medium,5'7'' to 5'9'',Yes,No,Yes
FTN2020-0295,Mentally unstable,11 feet to 14 feet,Male,Black,60,Small,5'7'' to 5'9'',Yes,Yes,No
FTN2020-0307,Alchohol and unknown drugs,11 feet to 14 feet,Male,Black,42,XLarge,5'10'' to 6'0'',No,Yes,Yes
FTN2020-0326,Unknown Drugs,15 feet to 18 feet,Male,Black,Unknown,Medium,5'7'' to 5'9'',No,Yes,No
FTN2020-0333,Unknown,0 feet to 1 feet,Female,Black,36,Medium,5'7'' to 5'9'',No,No,Yes
FTN2020-0342,Alchohol,4 feet to 6 feet,Male,Hispanic,Unknown,Medium,5'7'' to 5'9'',No,No,Yes
