PIB File Number,Use of Force Type,Use of Force Level,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Officer Injured
FTN2018-0123,Hands,L1,Yes,Black,Female,33,15,No
FTN2016-0086,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,33,15,No
FTN2016-0401,Force (Take Down),L2,No,Asian/Pacific Islander,Male,33,15,No
FTN2017-0117,Hands,L1,Yes,White,Male,33,15,Yes
FTN2017-0117,CEW Deployment,L2,No,White,Male,33,15,Yes
FTN2017-0218,Hands,L1,Yes,White,Male,33,15,No
FTN2017-0292,Firearm (Exhibited),L1,Yes,White,Male,33,15,No
FTN2017-0392,Force (Take Down),L2,Yes,White,Male,33,15,No
FTN2021-0334,Canine (No Bite),L2,Yes,Black,Male,33,15,No
FTN2021-0326,Canine (No Bite),L2,Yes,Black,Male,33,15,No
FTN2016-0098,Firearm (Exhibited),L1,Yes,Black,Male,33,15,No
FTN2016-0235,Rifle (Pointed),L1,Yes,Asian/Pacific Islander,Male,33,15,No
FTN2016-0375,CEW Exhibited/Laser,L1,No,White,Male,33,15,No
FTN2016-0375,Firearm (Exhibited),L1,No,White,Male,33,15,No
FTN2019-0149,Baton (non-strike),L2,Yes,Asian/Pacific Islander,Male,33,15,No
FTN2016-0243,CEW Deployment,L2,Yes,Black,Female,33,15,No
FTN2016-0616,Firearm (Exhibited),L1,Yes,Black,Male,33,15,No
FTN2016-0209,Firearm (Exhibited),L1,Yes,Black,Male,33,15,No
FTN2017-0207,Firearm (Exhibited),L1,Yes,White,Male,33,15,No
FTN2016-0069,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,33,15,No
FTN2016-0318,CEW Deployment,L2,Yes,Black,Female,33,15,No
FTN2016-0110,CEW Exhibited/Laser,L1,No,Black,Female,33,15,No
FTN2016-0110,Force (Take Down),L2,Yes,Black,Female,33,15,No
FTN2016-0192,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,33,15,No
FTN2016-0349,CEW Exhibited/Laser,L1,No,Asian/Pacific Islander,Male,33,15,No
FTN2016-0176,Force (Take Down),L2,Yes,Asian/Pacific Islander,Male,33,15,No
FTN2016-0176,Force (Take Down),L2,Yes,Asian/Pacific Islander,Male,33,15,No
FTN2016-0593,CEW Deployment,L2,Yes,Asian/Pacific Islander,Male,33,15,No
FTN2016-0311,CEW Exhibited/Laser,L1,Yes,White,Male,33,15,No
FTN2016-0016,Force (Take Down),L2,Yes,Asian/Pacific Islander,Male,33,15,No
FTN2016-0216,Firearm (Exhibited),L1,Yes,White,Male,33,15,No
FTN2016-0324,Firearm (Exhibited),L1,Yes,White,Male,33,15,No
FTN2016-0481,Firearm (Exhibited),L1,Yes,Black,Male,33,15,No
FTN2021-0287,Firearm (Exhibited),L1,No,White,Male,34,15,No
FTN2018-0203,Hands,L1,Yes,White,Male,34,15,Yes
FTN2017-0054,Force (Take Down),L2,Yes,Black,Female,34,15,No
FTN2022-0235,Canine (Bite),L4,Yes,Black,Male,34,15,No
FTN2018-0384,Takedown (no injury),L1,Yes,White,Male,34,15,No
FTN2018-0245,Hands,L1,Yes,Black,Female,34,15,No
FTN2017-0440,CEW Exhibited/Laser,L1,Limited,Black,Male,34,15,No
FTN2017-0440,Hands,L1,Yes,Black,Male,34,15,No
FTN2017-0440,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,34,15,No
FTN2017-0626,Hands,L1,Yes,Asian/Pacific Islander,Male,34,15,No
FTN2017-0627,CEW Deployment,L2,Limited,Black,Female,34,15,No
FTN2017-0432,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,34,15,No
FTN2017-0231,CEW Deployment,L2,Yes,White,Male,34,15,No
FTN2018-0112,Hands,L1,Yes,White,Male,34,15,No
FTN2017-0550,Firearm (Exhibited),L1,Yes,White,Male,34,15,No
FTN2018-0282,Hands,L1,Yes,White,Male,34,15,No
FTN2017-0064,Firearm (Exhibited),L1,Yes,Black,Male,34,15,No
FTN2017-0465,CEW Exhibited/Laser,L1,Yes,Black,Female,34,15,No
FTN2017-0538,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,34,15,No
FTN2017-0638,Firearm (Exhibited),L1,Yes,Black,Female,34,15,No
FTN2017-0636,Hands,L1,No,Black,Male,34,15,No
FTN2017-0636,CEW Deployment,L2,No,Black,Male,34,15,No
FTN2017-0388,Hands,L1,Yes,Black,Female,34,15,Yes
FTN2017-0388,Force (Take Down),L2,Yes,Black,Female,34,15,Yes
FTN2022-0360,Takedown (no injury),L1,Yes,Black,Male,34,15,No
FTN2017-0090,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,34,15,No
FTN2022-0015,Canine (No Bite),L2,Yes,Black,Male,34,15,No
FTN2017-0193,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,34,15,No
FTN2017-0161,Hands,L1,Yes,Black,Male,34,15,Yes
FTN2017-0161,Force (Take Down),L2,Yes,Black,Male,34,15,Yes
FTN2017-0042,Firearm (Exhibited),L1,Yes,Black,Male,34,15,No
FTN2017-0582,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,34,15,No
FTN2017-0202,CEW Exhibited/Laser,L1,Yes,Asian/Pacific Islander,Male,34,15,No
FTN2017-0168,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,34,15,No
FTN2016-0255,Force (Take Down),L2,Yes,Black,Male,34,15,No
FTN2017-0262,Hands,L1,Yes,Black,Male,34,15,No
FTN2020-0344,Hands,L1,Yes,Black,Female,35,15,No
FTN2019-0182,Takedown (no injury),L1,Yes,White,Male,35,15,No
FTN2019-0218,CEW Deployment,L2,No,White,Male,35,15,No
FTN2018-0381,Firearm (Exhibited),L1,Yes,Black,Male,35,15,No
FTN2023-0344,Canine (Bite),L4,Yes,Black,Male,35,15,No
FTN2018-0353,Firearm (Exhibited),L1,Yes,White,Male,35,15,No
FTN2019-0011,Firearm (Exhibited),L1,Yes,White,Male,35,15,No
FTN2019-0062,Hands,L1,Yes,White,Male,35,15,No
FTN2019-0198,Hands,L1,Yes,White,Male,35,15,Yes
FTN2018-0150,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,35,15,No
FTN2019-0203,Hands,L1,Yes,White,Male,35,15,No
FTN2018-0092,Hands,L1,Yes,Black,Male,35,15,No
FTN2019-0222,Hands,L1,No,White,Male,35,15,No
FTN2018-0072,Force (Take Down),L2,Yes,White,Male,35,15,No
FTN2016-0244,Other,L2,Yes,White,Male,35,15,No
FTN2020-0361,Takedown (w/injury),L2,Yes,Black,Male,35,15,No
FTN2016-0546,Hands,L1,Yes,Black,Female,35,15,No
FTN2018-0142,Firearm (Exhibited),L1,Yes,White,Male,35,15,No
FTN2018-0142,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,35,15,No
FTN2021-0404,Hands,L1,Yes,Asian/Pacific Islander,Male,35,15,No
FTN2023-0303,Canine (No Bite),L2,Yes,Black,Male,35,15,No
FTN2016-0247,Hands,L1,No,Black,Male,35,15,No
FTN2016-0247,CEW Deployment,L2,Yes,Black,Male,35,15,No
FTN2016-0014,Hands,L1,No,Black,Female,35,15,No
FTN2023-0276,Canine (No Bite),L2,Yes,Black,Male,35,15,No
FTN2016-0506,Force (Take Down),L2,Yes,White,Male,35,15,No
FTN2016-0304,CEW Exhibited/Laser,L1,Yes,White,Male,35,15,No
FTN2016-0451,CEW Deployment,L2,Yes,White,Male,35,15,No
FTN2016-0075,Hands,L1,Yes,White,Male,35,15,No
FTN2017-0287,CEW Exhibited/Laser,L1,Yes,Black,Male,35,15,No
FTN2023-0451,Canine (No Bite),L2,Yes,Black,Male,35,15,No
FTN2020-0241,Firearm (Exhibited),L1,No,White,Male,36,15,No
FTN2021-0405,Hands,L1,Yes,White,Male,36,15,No
FTN2024-0034,Canine (Bite),L4,Yes,Black,Male,36,15,No
FTN2020-0004,CEW Deployment,L2,Yes,White,Male,36,15,Yes
FTN2021-0369,Firearm (Exhibited),L1,Yes,Black,Male,36,15,No
FTN2020-0365,Firearm (Exhibited),L1,Yes,White,Male,36,15,No
FTN2022-0214,Rifle (Pointed),L1,Yes,Asian/Pacific Islander,Male,36,15,No
FTN2017-0402,Force (Escort Tech),L1,Yes,Black,Female,36,15,No
FTN2017-0402,Hands,L1,Yes,Black,Female,36,15,No
FTN2019-0160,Firearm (Exhibited),L1,Yes,Black,Male,36,15,No
FTN2019-0014,Takedown (no injury),L1,Yes,White,Male,36,15,No
FTN2019-0049,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,36,15,No
FTN2019-0107,Hands,L1,No,Black,Female,36,15,No
FTN2019-0107,Force (Defense Tech),L2,No,Black,Female,36,15,No
FTN2019-0111,Hands,L1,Yes,Black,Female,36,15,No
FTN2019-0035,Hands,L1,Yes,White,Male,36,15,No
FTN2020-0053,Takedown (w/injury),L2,Yes,White,Male,36,15,No
FTN2019-0397,Takedown (no injury),L1,Yes,White,Male,36,15,No
FTN2021-0195,Hands (with injury),L2,Yes,Black,Female,36,15,No
FTN2019-0368,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,36,15,No
FTN2018-0269,Firearm (Exhibited),L1,Yes,White,Male,36,15,No
FTN2017-0553,Force (Take Down),L2,Yes,White,Male,36,15,No
FTN2021-0005,Firearm (Exhibited),L1,Yes,Black,Female,36,15,No
FTN2017-0448,Force (Take Down),L2,Yes,White,Male,36,15,No
FTN2018-0297,Hands,L1,Yes,White,Male,36,15,No
FTN2020-0027,Force (Escort Tech),L1,Yes,White,Male,36,15,No
FTN2021-0196,Firearm (Exhibited),L1,Yes,Black,Female,36,15,No
FTN2023-0336,Firearm (Exhibited),L1,Yes,White,Male,36,15,No
FTN2023-0061,Hands,L1,Yes,White,Male,36,15,No
FTN2024-0196,Canine (No Bite),L2,No,Black,Male,36,15,No
FTN2022-0167,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,36,15,No
FTN2017-0018,Hands,L1,Yes,White,Male,36,15,Yes
FTN2020-0323,Canine (Bite),L4,Yes,Black,Male,37,15,No
FTN2018-0277,CEW Deployment,L2,Yes,Black,Male,37,15,No
FTN2021-0240,Force (Take Down),L2,Yes,White,Male,37,15,No
FTN2021-0049,Takedown (no injury),L1,Yes,White,Male,37,15,No
FTN2018-0358,Hands,L1,Yes,Black,Female,37,15,No
FTN2021-0241,Force (Take Down),L2,No,White,Male,37,15,No
FTN2021-0197,Hands,L1,Yes,White,Male,37,15,No
FTN2020-0277,Hands,L1,Yes,White,Male,37,15,No
FTN2018-0454,Firearm (Exhibited),L1,Yes,Black,Male,37,15,No
FTN2021-0149,Hands (with injury),L2,Yes,White,Male,37,15,Yes
FTN2021-0149,Force (Take Down),L2,Yes,White,Male,37,15,Yes
FTN2021-0036,Hands,L1,Yes,White,Male,37,15,No
FTN2021-0259,Handcuffed Subject,L4,No,White,Male,37,15,Yes
FTN2020-0379,Canine (No Bite),L2,Yes,Black,Male,37,15,No
FTN2020-0148,Firearm (Exhibited),L1,Yes,White,Male,37,15,No
FTN2018-0382,Firearm (Exhibited),L1,Yes,White,Male,37,15,No
FTN2020-0278,Canine (No Bite),L2,Yes,Black,Male,37,15,No
FTN2020-0136,Canine (No Bite),L2,Yes,Black,Male,37,15,No
FTN2023-0053,Force (Escort Tech),L1,Yes,Asian/Pacific Islander,Male,37,15,No
FTN2021-0112,Firearm (Exhibited),L1,No,Asian/Pacific Islander,Male,38,15,No
FTN2022-0039,Takedown (no injury),L1,Yes,White,Male,38,15,No
FTN2021-0007,Canine (No Bite),L2,Yes,Black,Male,38,15,No
FTN2021-0146,Canine (No Bite),L2,Yes,Black,Male,38,15,No
FTN2019-0261,Force (Take Down),L2,Yes,Black,Male,38,15,No
FTN2019-0276,Takedown (no injury),L1,Yes,White,Male,38,15,No
FTN2021-0316,Hands,L1,No,Black,Female,38,15,No
FTN2021-0024,Hands,L1,Yes,Black,Female,38,15,Yes
FTN2021-0173,Canine (No Bite),L2,Yes,Black,Male,38,15,No
FTN2021-0106,Hands,L1,Yes,Black,Female,38,15,No
FTN2021-0106,Takedown (no injury),L1,Yes,Black,Female,38,15,No
FTN2021-0141,Vehicle,L4,Yes,Asian/Pacific Islander,Male,38,15,No
FTN2021-0030,Firearm (Exhibited),L1,Yes,Black,Female,38,15,No
FTN2021-0037,Canine (No Bite),L2,No,Black,Male,38,15,No
FTN2022-0136,Force (Take Down),L2,Yes,White,Male,38,15,Yes
FTN2023-0375,Force (Escort Tech),L1,Yes,Black,Male,38,15,No
FTN2023-0375,Hands,L1,Yes,Black,Male,38,15,No
FTN2016-0607,Force (Escort Tech),L1,Yes,White,Male,38,15,No
FTN2016-0055,Firearm (Exhibited),L1,No,White,Male,38,15,No
FTN2016-0248,Firearm (Exhibited),L1,Yes,Black,Male,38,15,No
FTN2016-0080,Hands,L1,Yes,Black,Male,38,15,No
FTN2016-0457,Firearm (Exhibited),L1,No,White,Male,38,15,No
FTN2022-0283,Firearm (Exhibited),L1,Yes,Black,Female,39,15,No
FTN2020-0075,Hands,L1,Yes,Black,Male,39,15,No
FTN2020-0075,Force (Defense Tech),L2,Yes,Black,Male,39,15,No
FTN2017-0056,Firearm (Exhibited),L1,No,White,Male,39,15,No
FTN2020-0134,Hands,L1,Yes,Black,Male,39,15,No
FTN2022-0004,Canine (Bite),L4,Yes,Black,Male,39,15,No
FTN2020-0137,Firearm (Exhibited),L1,Yes,Black,Male,39,15,No
FTN2017-0320,Firearm (Exhibited),L1,Yes,White,Male,39,15,No
FTN2017-0473,Firearm (Exhibited),L1,Yes,White,Male,39,15,No
FTN2017-0617,CEW Deployment,L2,Yes,White,Male,39,15,No
FTN2022-0031,Canine (No Bite),L2,Yes,Black,Male,39,15,No
FTN2020-0084,Hands,L1,No,Black,Male,39,15,No
FTN2019-0232,Takedown (no injury),L1,Yes,Black,Male,39,15,Yes
FTN2017-0001,Hands,L1,No,Black,Male,39,15,No
FTN2022-0091,Firearm (Exhibited),L1,Yes,Black,Female,39,15,No
FTN2020-0198,CEW Deployment,L2,Yes,Black,Male,39,15,No
FTN2020-0281,Hands,L1,Yes,White,Male,39,15,No
FTN2020-0337,Takedown (no injury),L1,Yes,White,Male,39,15,Yes
FTN2020-0372,Firearm (Exhibited),L1,Yes,Black,Male,39,15,No
FTN2022-0076,Firearm (Exhibited),L1,No,Asian/Pacific Islander,Male,39,15,No
FTN2022-0083,Hands (with injury),L2,Yes,Asian/Pacific Islander,Male,39,15,No
FTN2020-0084,Baton (strike),L3,Yes,Black,Male,39,15,No
FTN2017-0421,CEW Exhibited/Laser,L1,Yes,Black,Male,39,15,No
FTN2017-0428,Firearm (Exhibited),L1,Yes,Black,Male,39,15,No
FTN2023-0055,CEW Exhibited/Laser,L1,Yes,White,Male,39,15,No
FTN2022-0190,Firearm (Exhibited),L1,Yes,Black,Female,39,15,No
FTN2022-0418,Canine (No Bite),L2,Yes,Black,Male,39,15,No
FTN2022-0205,Firearm (Exhibited),L1,Yes,Black,Male,39,15,No
FTN2022-0337,Firearm (Exhibited),L1,Yes,White,Male,39,15,No
FTN2022-0382,Hands,L1,Yes,Black,Female,39,15,Yes
FTN2022-0205,Canine (No Bite),L2,Yes,Black,Male,39,15,No
FTN2023-0378,Other,L1,No,White,Male,39,15,No
FTN2016-0200,Force (Take Down),L2,Yes,White,Male,39,15,No
FTN2017-0033,Force (Take Down),L2,Yes,White,Male,39,15,No
FTN2016-0022,Hands,L1,Yes,White,Male,39,15,No
FTN2016-0022,Force (Take Down),L2,Yes,White,Male,39,15,No
FTN2016-0188,Firearm (Exhibited),L1,Yes,Black,Male,39,15,No
FTN2016-0620,Hands,L1,Yes,White,Male,39,15,No
FTN2016-0624,Hands,L1,Yes,Black,Male,39,15,No
FTN2016-0164,Force (Take Down),L2,Yes,Black,Male,39,15,No
FTN2016-0283,Hands,L1,Yes,Black,Male,39,15,No
FTN2017-0408,Force (Take Down),L2,Yes,White,Male,40,15,No
FTN2016-0065,Hands,L1,Yes,Black,Male,40,15,No
FTN2021-0166,Hands,L1,Yes,Black,Male,40,15,No
FTN2018-0457,Takedown (no injury),L1,Yes,White,Male,40,15,No
FTN2021-0051,Firearm (Exhibited),L1,Yes,Black,Male,40,15,No
FTN2023-0504,Firearm (Exhibited),L1,Yes,Black,Male,40,15,No
FTN2023-0518,Hands (with injury),L2,Yes,Black,Male,40,15,No
FTN2021-0073,Firearm (Exhibited),L1,No,Black,Male,40,15,Yes
FTN2021-0073,Firearm (Discharged),L4,Yes,Black,Male,40,15,Yes
FTN2021-0073,NonTrad Impact Weapon,L4,No,Black,Male,40,15,Yes
FTN2021-0299,Firearm (Exhibited),L1,Yes,Black,Male,40,15,No
FTN2021-0316,Hands,L1,No,Black,Male,40,15,No
FTN2017-0589,Hands,L1,Yes,Black,Male,40,15,No
FTN2021-0029,Firearm (Exhibited),L1,No,Black,Male,40,15,Yes
FTN2021-0091,Firearm (Exhibited),L1,No,Black,Male,40,15,No
FTN2017-0229,Firearm (Exhibited),L1,Yes,Black,Male,40,15,No
FTN2017-0420,Hands,L1,Yes,Black,Male,40,15,No
FTN2018-0311,Force (Take Down),L2,Yes,Black,Male,40,15,No
FTN2023-0220,Force (Escort Tech),L1,Yes,Black,Female,40,15,No
FTN2016-0576,Hands,L1,Yes,Black,Male,40,15,No
FTN2023-0277,Canine (No Bite),L2,Yes,Black,Male,40,15,No
FTN2023-0346,Hands,L1,Yes,White,Male,40,15,No
FTN2023-0375,CEW Exhibited/Laser,L1,Yes,Black,Female,40,15,No
FTN2023-0375,Force (Escort Tech),L1,Yes,Black,Female,40,15,No
FTN2023-0414,Force (Take Down),L2,Yes,Asian/Pacific Islander,Male,40,15,No
FTN2023-0043,Hands (with injury),L2,Yes,Asian/Pacific Islander,Male,40,15,No
FTN2021-0418,Hands,L1,Yes,Black,Male,40,15,No
FTN2024-0210,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,41,15,No
FTN2024-0112,Firearm (Exhibited),L1,No,Black,Female,41,15,No
FTN2024-0161,Hands,L1,Yes,White,Male,41,15,No
FTN2024-0161,Other,L1,Yes,White,Male,41,15,No
FTN2019-0121,Takedown (w/injury),L2,Yes,White,Male,41,15,No
FTN2019-0037,Firearm (Exhibited),L1,Yes,White,Male,41,15,No
FTN2019-0038,Hands,L1,Yes,White,Male,41,15,No
FTN2019-0077,Takedown (no injury),L1,Yes,Black,Male,41,15,No
FTN2017-0617,Hands,L1,No,Black,Male,41,15,No
FTN2017-0454,Hands,L1,No,Black,Male,41,15,No
FTN2024-0072,Rifle (Pointed),L1,Yes,White,Male,41,15,No
FTN2024-0030,Other,L2,Yes,Asian/Pacific Islander,Male,41,15,No
FTN2019-0223,Firearm (Exhibited),L1,Yes,Black,Male,41,15,No
FTN2019-0067,Firearm (Exhibited),L1,Yes,Black,Male,41,15,No
FTN2022-0051,Takedown (no injury),L1,Yes,Black,Male,41,15,No
FTN2019-0021,Firearm (Exhibited),L1,No,White,Male,41,15,No
FTN2018-0252,Hands,L1,Yes,Black,Male,41,15,No
FTN2020-0384,Hands,L1,Yes,White,Male,41,15,No
FTN2023-0498,Force (Take Down),L2,Yes,Black,Male,41,15,No
FTN2024-0073,Canine (No Bite),L2,Yes,Black,Male,41,15,No
FTN2022-0166,CEW Deployment,L2,Yes,Black,Male,41,15,No
FTN2024-0121,CEW Deployment,L2,Yes,Black,Female,41,15,No
FTN2022-0319,Hands,L1,Yes,Black,Male,41,15,No
FTN2022-0415,Hands,L1,Yes,White,Male,41,15,Yes
FTN2024-0122,Takedown (no injury),L1,Yes,Asian/Pacific Islander,Male,41,15,No
FTN2016-0039,Force (Escort Tech),L1,Yes,White,Male,41,15,No
FTN2024-0156,Hands,L1,Yes,Asian/Pacific Islander,Male,41,15,No
FTN2024-0156,CEW Deployment,L2,Yes,Asian/Pacific Islander,Male,41,15,No
FTN2022-0222,Hands,L1,Yes,Black,Male,41,15,Yes
FTN2022-0222,Takedown (w/injury),L2,Yes,Black,Male,41,15,Yes
FTN2023-0402,Hands,L1,Yes,Black,Male,42,15,No
FTN2017-0499,Firearm (Exhibited),L1,Yes,White,Male,42,15,No
FTN2023-0390,Firearm (Exhibited),L1,Yes,Black,Male,42,15,No
FTN2020-0360,Firearm (Exhibited),L1,Yes,Black,Male,42,15,No
FTN2020-0010,Firearm (Exhibited),L1,Yes,Black,Male,42,15,No
FTN2020-0010,Takedown (no injury),L1,Yes,Black,Male,42,15,No
FTN2020-0101,Firearm (Exhibited),L1,Yes,White,Male,42,15,No
FTN2017-0029,Force (Take Down),L2,Yes,White,Male,42,15,Yes
FTN2023-0093,Hands,L1,Yes,Black,Female,42,15,Yes
FTN2016-0032,Force (Take Down),L2,Yes,White,Male,43,15,No
FTN2022-0336,Firearm (Exhibited),L1,Yes,White,Male,43,15,No
FTN2021-0066,Firearm (Exhibited),L1,Yes,White,Male,43,15,No
FTN2018-0156,Takedown (no injury),L1,Yes,White,Male,43,15,No
FTN2020-0178,Takedown (no injury),L1,Yes,White,Male,43,15,No
FTN2019-0212,Firearm (Exhibited),L1,Yes,Black,Male,43,15,No
FTN2020-0191,Force (Take Down),L2,Yes,White,Male,43,15,No
FTN2020-0382,Force (Escort Tech),L1,No,White,Male,43,15,Yes
FTN2020-0382,Hands,L1,Yes,White,Male,43,15,Yes
FTN2024-0106,CEW Deployment,L2,No,Black,Male,43,15,No
FTN2024-0134,Hands,L1,Yes,White,Male,43,15,No
FTN2021-0105,Takedown (no injury),L1,Yes,Black,Male,43,15,No
FTN2020-0286,Other,L2,Yes,Black,Male,43,15,Yes
FTN2018-0286,Hands,L1,Yes,White,Male,43,15,Yes
FTN2020-0102,Hands,L1,No,Black,Male,43,15,No
FTN2020-0102,CEW Deployment,L2,No,Black,Male,43,15,No
FTN2024-0070,Firearm (Exhibited),L1,Yes,Black,Male,43,15,No
FTN2024-0070,CEW Deployment,L2,No,Black,Male,43,15,No
FTN2016-0286,Hands,L1,Yes,White,Male,43,15,No
FTN2016-0079,Hands,L1,Yes,White,Male,43,15,No
FTN2016-0169,Force (Take Down),L2,Yes,White,Male,43,15,No
FTN2016-0617,Hands,L1,Yes,White,Male,43,15,No
FTN2016-0056,Hands,L1,No,White,Male,43,15,No
FTN2017-0321,Force (Take Down),L2,Yes,White,Male,44,15,No
FTN2017-0468,Firearm (Exhibited),L1,Yes,White,Male,44,15,No
FTN2019-0081,Hands,L1,Yes,White,Male,44,15,No
FTN2017-0228,Hands,L1,Yes,White,Male,44,15,No
FTN2019-0325,Firearm (Exhibited),L1,Yes,White,Male,44,15,No
FTN2020-0261,Force (Escort Tech),L1,Yes,Black,Male,44,15,No
FTN2017-0096,Firearm (Exhibited),L1,No,White,Male,44,15,No
FTN2021-0195,Hands (with injury),L2,Yes,Black,Male,44,15,No
FTN2019-0191,Firearm (Exhibited),L1,Yes,White,Male,44,15,No
FTN2019-0075,Firearm (Exhibited),L1,No,White,Male,44,15,No
FTN2022-0069,Firearm (Exhibited),L1,Yes,Black,Male,44,15,No
FTN2022-0323,Takedown (w/injury),L2,Yes,Black,Male,44,15,No
FTN2022-0417,Firearm (Exhibited),L1,No,Black,Male,44,15,No
FTN2022-0142,Firearm (Exhibited),L1,No,White,Male,44,15,No
FTN2022-0273,Force (Escort Tech),L1,Yes,White,Male,44,15,No
FTN2018-0047,Hands,L1,No,White,Male,45,15,No
FTN2020-0059,Force (Defense Tech),L2,Yes,White,Male,45,15,No
FTN2018-0300,Firearm (Exhibited),L1,Yes,White,Male,45,15,No
FTN2022-0120,Hands,L1,Yes,White,Male,45,15,No
FTN2021-0262,CEW Deployment,L2,Yes,Black,Male,45,15,No
FTN2018-0337,Firearm (Exhibited),L1,Yes,White,Male,45,15,No
FTN2018-0453,Takedown (w/injury),L2,Yes,White,Male,45,15,No
FTN2021-0095,Hands,L1,Yes,Black,Male,45,15,No
FTN2021-0106,Hands,L1,Yes,Black,Male,45,15,No
FTN2021-0106,Takedown (no injury),L1,Yes,Black,Male,45,15,No
FTN2021-0106,CEW Deployment,L2,Yes,Black,Male,45,15,No
FTN2023-0161,Takedown (no injury),L1,Yes,White,Male,45,15,No
FTN2023-0075,Hands,L1,Yes,Black,Male,45,15,No
FTN2023-0005,Takedown (w/injury),L2,Yes,White,Male,45,15,No
FTN2023-0192,Takedown (w/injury),L2,Yes,Black,Male,45,15,No
FTN2024-0002,Force (Take Down),L2,Yes,White,Male,45,15,No
FTN2016-0566,Firearm (Exhibited),L1,Yes,White,Male,45,15,No
FTN2016-0414,Hands,L1,Yes,White,Male,45,15,No
FTN2016-0543,Firearm (Exhibited),L1,Yes,White,Male,45,15,No
FTN2016-0367,Firearm (Exhibited),L1,Yes,White,Male,45,15,No
FTN2016-0156,Hands,L1,No,White,Male,45,15,No
FTN2023-0413,CEW Deployment,L2,No,White,Male,46,15,No
FTN2023-0413,CEW Deployment,L2,Yes,White,Male,46,15,No
FTN2023-0413,Force (Take Down),L2,Yes,White,Male,46,15,No
FTN2016-0537,Handcuffed Subject,L4,Yes,White,Male,46,15,No
FTN2021-0356,Force (Take Down),L2,Yes,White,Male,46,15,Yes
FTN2019-0022,CEW Deployment,L2,Yes,White,Male,46,15,No
FTN2017-0265,Hands,L1,Yes,Black,Female,46,15,No
FTN2019-0075,Hands,L1,Yes,White,Male,46,15,No
FTN2021-0285,Hands,L1,Yes,White,Male,46,15,No
FTN2019-0074,Hands,L1,Yes,White,Male,46,15,No
FTN2016-0071,CEW Exhibited/Laser,L1,Yes,White,Male,46,15,No
FTN2021-0082,Hands (with injury),L2,Yes,White,Male,46,15,Yes
FTN2024-0090,Firearm (Exhibited),L1,Yes,White,Male,46,15,No
FTN2016-0388,Hands,L1,Yes,White,Male,46,15,No
FTN2024-0103,Firearm (Exhibited),L1,Yes,White,Male,46,15,No
FTN2024-0155,Hands,L1,Yes,White,Male,46,15,No
FTN2024-0155,Force (Take Down),L2,Yes,White,Male,46,15,No
FTN2023-0197,Force (Escort Tech),L1,Yes,Black,Male,46,15,No
FTN2023-0197,Hands,L1,Yes,Black,Male,46,15,No
FTN2016-0089,CEW Deployment,L2,Yes,White,Male,46,15,No
FTN2016-0062,Hands,L1,Yes,White,Male,46,15,No
FTN2016-0047,Hands,L1,Yes,White,Male,46,15,No
FTN2018-0245,Hands,L1,Yes,Black,Female,47,15,No
FTN2023-0191,Baton (non-strike),L1,No,Black,Male,47,15,No
FTN2016-0272,Force (Take Down),L2,Yes,Black,Male,47,15,No
FTN2018-0453,Hands,L1,Yes,White,Male,47,15,No
FTN2018-0453,Takedown (w/injury),L2,Yes,White,Male,47,15,No
FTN2020-0141,Force (Escort Tech),L1,Yes,White,Male,47,15,Yes
FTN2018-0466,Firearm (Exhibited),L1,No,White,Male,47,15,Yes
FTN2018-0466,Hands,L1,Yes,White,Male,47,15,Yes
FTN2020-0123,Handcuffed Subject,L4,No,White,Male,47,15,No
FTN2022-0251,Other,L1,Yes,White,Male,47,15,No
FTN2022-0114,Takedown (no injury),L1,Yes,White,Male,47,15,Yes
FTN2023-0411,Hands,L1,Yes,Black,Male,47,15,No
FTN2022-0149,Firearm (Exhibited),L1,Yes,White,Male,47,15,No
FTN2022-0228,Force (Escort Tech),L1,Yes,White,Male,47,15,No
FTN2022-0331,Firearm (Exhibited),L1,Yes,White,Male,47,15,No
FTN2016-0258,Firearm (Exhibited),L1,Yes,Black,Male,47,15,No
FTN2016-0080,Hands,L1,Yes,Black,Male,47,15,No
FTN2016-0145,CEW Deployment,L2,Yes,Black,Male,47,15,No
FTN2016-0222,CEW Exhibited/Laser,L1,Yes,Black,Female,47,15,No
FTN2016-0403,Force (Take Down),L2,Yes,Black,Male,47,15,No
