PIB File Number,Date Occurred,Originating Bureau,Division Level,Division,Unit,Working Status,Shift,Investigation Status,Disposition,Service Type,Light Condition,Weather Condition,Subject Count,Officer Count
FTN2017-0512,9/27/2017,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,3,1
FTN2017-0515,9/28/2017,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,2
FTN2017-0518,9/28/2017,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0514,9/28/2017,FOB - Field Operations Bureau,1st District,Unknown,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,7
FTN2017-0516,9/29/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,1,1
FTN2016-0635,12/20/2016,FOB - Field Operations Bureau,7th District,Day Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,3
FTN2017-0519,9/30/2017,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,1
FTN2017-0520,10/1/2017,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0521,10/1/2017,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,2
FTN2017-0522,10/3/2017,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,2
FTN2017-0523,10/4/2017,FOB - Field Operations Bureau,1st District,Narcotics,Unknown,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2017-0525,10/5/2017,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1
FTN2017-0524,10/5/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,1,1
FTN2017-0526,10/6/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1
FTN2017-0528,10/8/2017,FOB - Field Operations Bureau,5th District,B Platoon,Unknown,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,5
FTN2017-0527,10/8/2017,FOB - Field Operations Bureau,6th District,A Platoon,Unknown,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2017-0529,10/9/2017,FOB - Field Operations Bureau,5th District,D.I.U.,Unknown,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,1
FTN2017-0532,10/10/2017,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Unknown,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,3
FTN2017-0533,10/10/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,3
FTN2017-0531,10/10/2017,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1
FTN2017-0530,10/10/2017,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,2
FTN2017-0535,10/13/2017,FOB - Field Operations Bureau,2nd District,Narcotics,Unknown,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,1,1
FTN2017-0536,10/13/2017,FOB - Field Operations Bureau,3rd District,Task Force,A,Resigned,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,2,4
FTN2016-0638,12/21/2016,FOB - Field Operations Bureau,7th District,Day Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,1
FTN2017-0537,10/14/2017,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,3
FTN2017-0538,10/14/2017,FOB - Field Operations Bureau,5th District,B Platoon,Unknown,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,9
FTN2016-0639,12/22/2016,FOB - Field Operations Bureau,7th District,Day Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0539,10/15/2017,FOB - Field Operations Bureau,6th District,D.I.U.,Persons,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,3,3
FTN2017-0540,10/15/2017,FOB - Field Operations Bureau,Special Operations Division,K9 Section,Unknown,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,1
FTN2017-0542,10/16/2017,FOB - Field Operations Bureau,2nd District,Unknown,Unknown,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,3,3
FTN2017-0545,10/17/2017,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0543,10/17/2017,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2017-0544,10/18/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,2
FTN2017-0546,10/19/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,2
FTN2017-0547,10/19/2017,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1
FTN2017-0548,10/19/2017,FOB - Field Operations Bureau,Special Operations Division,Unknown,Unknown,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,4,1
FTN2017-0551,10/20/2017,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Other,Poor,Clear Conditions,1,1
FTN2017-0550,10/20/2017,FOB - Field Operations Bureau,1st District,Narcotics,Narcotics,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,3,4
FTN2017-0552,10/21/2017,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,3
FTN2017-0554,10/22/2017,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,2
FTN2017-0553,10/22/2017,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Medium,1,2
FTN2017-0555,10/23/2017,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2017-0556,10/23/2017,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,3
FTN2017-0557,10/23/2017,FOB - Field Operations Bureau,7th District,Day Watch,Unknown,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0559,10/24/2017,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1
FTN2017-0558,10/24/2017,FOB - Field Operations Bureau,6th District,School Resource Officers,Unknown,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,3
FTN2017-0560,10/26/2017,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Other,1,1
FTN2017-0562,10/29/2017,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2017-0564,10/29/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2016-0640,12/23/2016,FOB - Field Operations Bureau,1st District,B Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,1
FTN2017-0573,10/30/2017,FOB - Field Operations Bureau,Special Operations Division,Unknown,Unknown,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,1
FTN2017-0566,10/30/2017,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2016-0653,12/31/2016,FOB - Field Operations Bureau,5th District,Unknown,Unknown,Regular Working,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0568,11/1/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,4,2
FTN2017-0569,11/1/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,2
FTN2017-0570,11/2/2017,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1
FTN2017-0572,11/4/2017,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0574,11/5/2017,FOB - Field Operations Bureau,3rd District,C Platoon,Unknown,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1
FTN2017-0575,11/5/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,1,1
FTN2017-0576,11/6/2017,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,2
FTN2017-0577,11/7/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Unknown,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,2,1
FTN2017-0592,11/8/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,5,6
FTN2017-0578,11/8/2017,FOB - Field Operations Bureau,3rd District,Unknown,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,4,9
FTN2017-0580,11/10/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2017-0581,11/10/2017,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,1
FTN2017-0579,11/10/2017,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,1
FTN2017-0017,1/16/2017,FOB - Field Operations Bureau,7th District,Day Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2017-0584,11/13/2017,FOB - Field Operations Bureau,6th District,Unknown,Unknown,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,3
FTN2017-0583,11/13/2017,FOB - Field Operations Bureau,7th District,A Platoon,Unknown,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,2
FTN2017-0587,11/15/2017,FOB - Field Operations Bureau,8th District,Narcotics,Unknown,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,6
FTN2017-0585,11/15/2017,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2017-0586,11/15/2017,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,2,2
FTN2017-0588,11/16/2017,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,1,1
FTN2017-0589,11/18/2017,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,2
FTN2017-0597,11/19/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,1,3
FTN2017-0591,11/19/2017,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0595,11/21/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,3
FTN2017-0594,11/21/2017,FOB - Field Operations Bureau,7th District,Evening Watch,Unknown,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,2
FTN2017-0596,11/22/2017,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,3,4
FTN2017-0598,11/26/2017,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,3,2
FTN2017-0599,11/27/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2017-0601,11/27/2017,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0602,11/29/2017,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,2
FTN2017-0606,11/29/2017,FOB - Field Operations Bureau,5th District,Task Force,Unknown,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Other,Poor,Clear Conditions,1,2
FTN2017-0605,11/29/2017,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2017-0603,11/29/2017,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2017-0607,12/1/2017,FOB - Field Operations Bureau,8th District,Special Victims Section,Sex Crimes,Paid Detail,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2017-0608,12/1/2017,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,1
FTN2017-0610,12/1/2017,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1
FTN2017-0609,12/1/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,1
FTN2017-0612,12/2/2017,FOB - Field Operations Bureau,8th District,Unknown,Unknown,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Foggy Condition,1,1
FTN2017-0613,12/2/2017,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2017-0614,12/3/2017,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0615,12/4/2017,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,4
FTN2017-0616,12/5/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2017-0621,12/6/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Rainy Conditions - Light,3,2
FTN2017-0617,12/9/2017,FOB - Field Operations Bureau,8th District,C Platoon,Unknown,Paid Detail,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,3
FTN2017-0618,12/9/2017,FOB - Field Operations Bureau,3rd District,Unknown,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,3
FTN2017-0620,12/10/2017,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,2
FTN2017-0619,12/10/2017,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,4,5
FTN2017-0622,12/11/2017,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2017-0624,12/12/2017,FOB - Field Operations Bureau,1st District,C Platoon,Unknown,Paid Detail,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,1
FTN2017-0626,12/12/2017,FOB - Field Operations Bureau,5th District,Task Force,Unknown,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Poor,Other,1,4
FTN2017-0623,12/12/2017,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,3
FTN2017-0625,12/13/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,3
FTN2017-0627,12/13/2017,FOB - Field Operations Bureau,8th District,D.I.U.,Property,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,1
FTN2017-0628,12/14/2017,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,1
FTN2017-0629,12/15/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,1,1
FTN2017-0630,12/15/2017,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,4,4
FTN2017-0633,12/17/2017,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,1
FTN2017-0632,12/17/2017,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0631,12/17/2017,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Medium,1,5
FTN2017-0634,12/18/2017,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0637,12/20/2017,FOB - Field Operations Bureau,4th District,Narcotics Section,Narcotics,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,1,1
FTN2017-0635,12/20/2017,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,1,2
FTN2017-0636,12/20/2017,FOB - Field Operations Bureau,Special Operations Division,K9 Section,Unknown,Paid Detail,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2017-0638,12/21/2017,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0639,12/22/2017,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,2
FTN2017-0640,12/23/2017,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,2
FTN2017-0641,12/23/2017,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,4
FTN2017-0644,12/24/2017,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2017-0643,12/24/2017,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,2
FTN2017-0645,12/24/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,5
FTN2017-0647,12/26/2017,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2017-0648,12/27/2017,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2017-0649,12/29/2017,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,2,1
FTN2018-0083,12/29/2017,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,3
FTN2017-0650,12/29/2017,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1
FTN2017-0651,12/31/2017,FOB - Field Operations Bureau,7th District,K9 Section,Unknown,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,4
FTN2018-0002,1/1/2018,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,2
FTN2018-0001,1/1/2018,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,2
FTN2018-0003,1/3/2018,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2018-0004,1/4/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Unknown,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2018-0005,1/6/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,2
FTN2018-0006,1/7/2018,FOB - Field Operations Bureau,Reserve Division,Unknown,Unknown,Paid Detail,Between 3pm-11pm,Completed,UOF Justified,Other,Good,Clear Conditions,1,1
FTN2018-0009,1/10/2018,FOB - Field Operations Bureau,8th District,Unknown,Unknown,Paid Detail,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2018-0014,1/11/2018,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,5
FTN2018-0011,1/11/2018,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2018-0010,1/11/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Unknown,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,1,1
FTN2018-0013,1/11/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,1,1
